Blindspotting is a near faultless film - bravely engaging with topical issues while providing a frank, often funny, look at those caught in the mess.|Fresh
This is a powerful, well-acted film with memorable characters. Director Carlos López Estrada makes good use of imagery, poetry, drama and humor to illustrate what it is like to live as a troubled black man in a racially divided city.|Fresh
Has the high-energy crackle and syncopated rhythms of a rap battle, with its buddy comedy format sharing the stage and trading rhymes and times with its deeper societal commentary element to nimble effect.|Fresh
A timely film about the state of America.|Fresh
A straightforward fusion between 8 Mile and Fruitvale Station.|Fresh
It's been a good year for films like this... and this one is at the top.|Fresh
If you're putting BlacKKKlansman on your list as one of the best movies of the year... then you need to watch this movie. And this needs to go on your list.|Fresh
The film has social commentary but it doesn't distract from the narrative making it a quite mesmerizing portrayal of racial conflict and how even the most toxic people get free passes depending on their race|Fresh
Both an incredibly funny comedy and a poignant drama on the themes of identity, perception and society.|Fresh
In the form of a delirious bromance, where the digressions are numerous, [director Carlos López Estrada] never loses the thread of his plot, until an apotheosis of final sequences. [Full review in Spanish]|Fresh
Blindspotting is a near faultless film - bravely engaging with topical issues while providing a frank, often funny, look at those caught in the mess.|Fresh
This is a powerful, well-acted film with memorable characters. Director Carlos López Estrada makes good use of imagery, poetry, drama and humor to illustrate what it is like to live as a troubled black man in a racially divided city.|Fresh
Has the high-energy crackle and syncopated rhythms of a rap battle, with its buddy comedy format sharing the stage and trading rhymes and times with its deeper societal commentary element to nimble effect.|Fresh
A timely film about the state of America.|Fresh
A straightforward fusion between 8 Mile and Fruitvale Station.|Fresh
It's been a good year for films like this... and this one is at the top.|Fresh
If you're putting BlacKKKlansman on your list as one of the best movies of the year... then you need to watch this movie. And this needs to go on your list.|Fresh
The film has social commentary but it doesn't distract from the narrative making it a quite mesmerizing portrayal of racial conflict and how even the most toxic people get free passes depending on their race|Fresh
Both an incredibly funny comedy and a poignant drama on the themes of identity, perception and society.|Fresh
In the form of a delirious bromance, where the digressions are numerous, [director Carlos López Estrada] never loses the thread of his plot, until an apotheosis of final sequences. [Full review in Spanish]|Fresh
Things always look different depending on your perspective and by challenging all kinds of stereotypes, the film becomes an even more provocative work of art.|Fresh
Don't miss this sleeper pick.|Fresh
Funnier than I expected. More ambitious than I expected. A lot deeper than I expected. BLINDSPOTTING refuses to narrow its scope and is messier and stronger for it.|Fresh
[Carlos López Estrada] punctuates Blindspotting with the well-timed syncopations of an impassioned rap performance, finding grooves in which to place the collective anger and hurt of a race and let it spark.|Fresh
