Endless Poetry is constantly engaged in the act of invoking without ever evoking anything. In that sense, its name is just wrong; there's no poetry to it at all.|Rotten
Goofy, uneven, alternately outrageous and charming (when not both at once), Endless Poetry is as good an introduction to his work as any, and it couldn't have been made by anyone else.|Fresh
In its mix of the absurd and the beautiful, Endless Poetry puts into images the sweeping emotions of Jodorowsky's big, beating heart.|Fresh
It's not endless, but it can often seem insufferable.|Rotten
Endless Poetry isn't for every taste, but those who give it a try will find a celebration of imagination from a director whose sense of invention seems unchecked either by censorial impulse or personal inhibition.|Fresh
Watching it is a little like getting kidnapped by a troupe of mimes and puppeteers, but at some point Stockholm Syndrome sets in and you end up liking its utter insanity.|Fresh
Sustaining the mood, Jodorowsky once again bathes the feature in oddity, personal expression, and grotesqueries, making this second chapter as captivating as the first.|Fresh
Endless Poetry offers a ribald and revelatory road to poetic nirvana.|Fresh
Endless Poetry is not a movie that has any interest in hiding its metaphorical (or literal) erections.|Fresh
Though a little Jodorowsky goes a long way, Endless Poetry is the director's most accessible film to date. The story is linear and often funny, even if you're not initially sure if it's supposed to be.|Fresh
Endless Poetry is constantly engaged in the act of invoking without ever evoking anything. In that sense, its name is just wrong; there's no poetry to it at all.|Rotten
Goofy, uneven, alternately outrageous and charming (when not both at once), Endless Poetry is as good an introduction to his work as any, and it couldn't have been made by anyone else.|Fresh
In its mix of the absurd and the beautiful, Endless Poetry puts into images the sweeping emotions of Jodorowsky's big, beating heart.|Fresh
It's not endless, but it can often seem insufferable.|Rotten
Endless Poetry isn't for every taste, but those who give it a try will find a celebration of imagination from a director whose sense of invention seems unchecked either by censorial impulse or personal inhibition.|Fresh
Watching it is a little like getting kidnapped by a troupe of mimes and puppeteers, but at some point Stockholm Syndrome sets in and you end up liking its utter insanity.|Fresh
Sustaining the mood, Jodorowsky once again bathes the feature in oddity, personal expression, and grotesqueries, making this second chapter as captivating as the first.|Fresh
Endless Poetry offers a ribald and revelatory road to poetic nirvana.|Fresh
Endless Poetry is not a movie that has any interest in hiding its metaphorical (or literal) erections.|Fresh
Though a little Jodorowsky goes a long way, Endless Poetry is the director's most accessible film to date. The story is linear and often funny, even if you're not initially sure if it's supposed to be.|Fresh
Drawing on that particular quality of light that seems unique to Chile, Jodorowsky paints an alluring portrait of his homeland.|Fresh
Jodorowsky is genuinely thoughtful and searching...|Fresh
Well into his 80s, Alejandro Jodorowsky, cinema's utmost surrealist shaman, has found a new burst of film creativity by mining his own personal history.|Fresh
It seizes your attention like a flamboyant ringmaster presiding over a circus that, despite being baffling, is a joy to behold.|Fresh
As you'd expect from the Chilean director, Jodorowsky follows no rules when it comes to artistic creation.|Fresh
'Endless Poetry' raises the possibility that artists young or old can still challenge barriers and ask questions about life.|Fresh
If Endless Poetry sounds episodic and a bit nutty, it is, delightfully so, and actually tamer than Jodorowsky's earlier works, sharing with them triumphant glimmer and a casual, unpretentious surrealism.|Fresh
While it's all gloriously bats--- in that uniquely Jodorowskian way, the picture ends with quite possibly the most unapologetically heart-on-sleeve climax in the old coot's canon.|Fresh
It's the rarest kind of cinematic achievement, when a film that's so innately somber is also such an utter pleasure to watch. And maybe it's the kind of achievement we should only expect from a guy like Jodorowsky.|Fresh
"""I've sold my devil to the soul."" ""Life does not have meaning, you have to live it!"" Alejandro Jodorowsky is the most euphoric filmmaker of our time."|Fresh
There's something ineffably moving about seeing the filmmaker take stock of himself and his history as he gently nudges this traveling circus of a movie toward its next destination.|Fresh
Mr. Jodorowsky, at 88, shows the irrepressible energy of a man who is just getting started.|Fresh
Endless Poetry captures the nocturnal essence of being young, on your own for the first time, and surrounded by friends who inspire you to pursue your dreams.|Fresh
A bildungsroman, something along the lines of The Sorrows Of Young Alejandro: heartbreak, unrequited love, initiation, artistic self-discovery.|Fresh
Whether any of the film's moments are entirely true, totally fabricated, or representative of some larger, psychological truth doesn't matter when you're in the hands of this consummate visual artist.|Fresh
Endless Poetry eventually, like young Alejandro, opens itself up to the world in all of its beauty and complexities.|Fresh
