"A quasi-futuristic society places old grudges above good intentions in this vivid and arresting animated feature from Wes Anderson, ""Isle of Dogs."""|Fresh
Probably the most accessible film in [Wes] Anderson's catalogue to date...|Fresh
A feast for the eyes and the soul in equal measure, Isle of Dogs is certain to elicit new joys on each repeated viewing.|Fresh
I was really charmed by it.|Fresh
Isle of Dogs is pure Wes Anderson in all the best ways. It is a smart and funny story, filled with nuance and idiosyncrasy; charming and quirky and beautiful to look at. A weird, wonderful delight.|Fresh
"Just like ""Fantastic Mr. Fox"", this is another funny, clever, and imaginative animated fable."|Fresh
The resulting whole is immensely touching and fun. Yet beneath the film's whimsical surface it is not hard to detect some serious points being made about fearmongering and scapegoating that are all too timely.|Fresh
For those of you looking to step into the wonderful world of Wes, Isle of Dogs is an adventure story with so much soul and warmth that it could become a gateway drug to his body of work.|Fresh
The film works until it doesn't.|Fresh
10 Best of 2018: Honorable Mention.|Fresh
"A quasi-futuristic society places old grudges above good intentions in this vivid and arresting animated feature from Wes Anderson, ""Isle of Dogs."""|Fresh
Probably the most accessible film in [Wes] Anderson's catalogue to date...|Fresh
A feast for the eyes and the soul in equal measure, Isle of Dogs is certain to elicit new joys on each repeated viewing.|Fresh
I was really charmed by it.|Fresh
Isle of Dogs is pure Wes Anderson in all the best ways. It is a smart and funny story, filled with nuance and idiosyncrasy; charming and quirky and beautiful to look at. A weird, wonderful delight.|Fresh
"Just like ""Fantastic Mr. Fox"", this is another funny, clever, and imaginative animated fable."|Fresh
The resulting whole is immensely touching and fun. Yet beneath the film's whimsical surface it is not hard to detect some serious points being made about fearmongering and scapegoating that are all too timely.|Fresh
For those of you looking to step into the wonderful world of Wes, Isle of Dogs is an adventure story with so much soul and warmth that it could become a gateway drug to his body of work.|Fresh
The film works until it doesn't.|Fresh
10 Best of 2018: Honorable Mention.|Fresh
A delight, thanks to an impressive voice cast, the Japanese-inspired design (a source of some controversy, these appropriations motivate further flattening of Anderson's Cornell-box-like compositions) and the uncanny charm of the stop-motion process.|Fresh
While this may not be one of Anderson's very best works, it's still a brilliant, charismatic, beautiful looking movie.|Fresh
Leave it to the wonderfully over-inventive talents of Wes Anderson to cobble together an animated feature that brings new meaning to 'going to the dogs'.|Fresh
"It's an overwhelming experience to see how man and dog have magnetic pulls on one another, but the journey to get to that place of trust isn't as easy as giving a dog a bit of a ""Puppy Snap."""|Fresh
The film's sense of real and lethal peril - its diorama-like unreality notwithstanding - is eminently fitting for a story that is so keenly attuned to the distinctive angst of the human-canine relationship.|Fresh
The story is told with ingenious wit.|Fresh
A film about the relationship between mankind and man's best friend that feels oddly averse to showcasing any emotion of its own.|Rotten
Every once in awhile real emotions peep through all the detached humor and it's a gut punch every time it happens.|Fresh
The worlds that Wes Anderson creates are so much fun, and Isle of Dogs is about as fun as it gets.|Fresh
It's very much Anderson doing his thing, but as a tribute to our four legged friends, he hits on something pretty universal.|Fresh
Without question, Isle of Dogs sets the bar for animated features in 2018 and is almost assuredly a lock in that Oscar category early next year.|Fresh
Dogs hits all the notes you want from a Wes Anderson movie while simultaneously exhibiting a freshness I wasn't expecting. It is not the best Anderson film but it may be the one that provided the most actual laugh-out-loud moments.|Fresh
Draped in quirky Andersonisms, understated humor, andbrassy real-world parallels.|Fresh
Both auteurs shrivel into their spoiled-child selves. The self-dramatization in Ismael's film actually evades personal responsibility just like Anderson's self-referential dog-puppet toyland.|Rotten
Stop-motion animation and its choreographed, symmetrical quality almost mirrors the buried, staccato emotional timbre of Anderson's storytelling to a T.|Fresh
The aforementioned midpoint-turn where all Wes Anderson movies either find or don't find their sincerity is a real stunner this time.|Fresh
Here is another joyous cinematic experience by Wes Anderson that dazzles the eye, tickles the funny bone, and makes you think about what you've experienced.|Fresh
Isle of Dogs is enjoyable for its rich attention to detail in every shot and its on-the-nose doggy comedy.|Fresh
There's a big, beating heart at the center of Isle of Dogs, this time around the spiritual connection that exists between mankind and the animals they love.|Fresh
