The director deserves praise for keeping us on the edge of our seats throughout the movie, and also for getting Cho and Messing (who are better known for comedic roles) to deliver what are probably their career-best performances.|Fresh
The real star of the film is the technology [...] Password protected accounts are a short confirmation email away, and geo-tags reveal more history than an interrogation.|Fresh
It had humor, tension and surprised me on more than one occasion.|Fresh
The new approach to the material helps to make it come alive in ways that might not have happened if it had been told in a more conventional manner.|Fresh
Searching uses the [screenwatch] style as more than just a gimmick, telling a simple but gripping thriller mystery with nothing but webcams and Google searches.|Fresh
An interesting take on a well-worn plot.|Fresh
Searching isn't a conventionally-told story, but it is absolutely a well-told one. It is compelling and intense and very, very good.|Fresh
Bottom line: Searching is definitely one of the best movies I've seen in a while.|Fresh
... an emotionally parched and insubstantial drama thriller.|Rotten
It does exactly what we would want any movie to do; it takes you for an emotional ride and never stops until the very end. All you have to do is just sit back and go along with it.|Fresh
The director deserves praise for keeping us on the edge of our seats throughout the movie, and also for getting Cho and Messing (who are better known for comedic roles) to deliver what are probably their career-best performances.|Fresh
The real star of the film is the technology [...] Password protected accounts are a short confirmation email away, and geo-tags reveal more history than an interrogation.|Fresh
It had humor, tension and surprised me on more than one occasion.|Fresh
The new approach to the material helps to make it come alive in ways that might not have happened if it had been told in a more conventional manner.|Fresh
Searching uses the [screenwatch] style as more than just a gimmick, telling a simple but gripping thriller mystery with nothing but webcams and Google searches.|Fresh
An interesting take on a well-worn plot.|Fresh
Searching isn't a conventionally-told story, but it is absolutely a well-told one. It is compelling and intense and very, very good.|Fresh
Bottom line: Searching is definitely one of the best movies I've seen in a while.|Fresh
... an emotionally parched and insubstantial drama thriller.|Rotten
It does exactly what we would want any movie to do; it takes you for an emotional ride and never stops until the very end. All you have to do is just sit back and go along with it.|Fresh
Chaganty has created a digital web of mystery and intrigue, as we are thrust into a missing persons case that engrosses with every twist, turn, and keystroke.|Fresh
As its run-time rolls on, it grows so head-smackingly stupid and trite, you'll wonder why you wasted the time at all.|Rotten
Searching for a smart take on the internet? Look no further.|Fresh
While this style of storytelling has been used before in the horror genre (Unfriended comes to mind), it was interesting to see such an inventive manner of presenting a mystery/thriller story for the modern age.|Fresh
It's this in your face low-rent approach that really makes Searching special,Aneesh Chaganty and Sev Ohanian avoid turning internet technology into yet another horror movie bogeyman.|Fresh
A thrilling, unpredictable and riveting film|Fresh
No fancy shots are required to show the true fear and panic of a desperate father. Searching is so effective we cannot imagine it being made under a traditional method.|Fresh
An utterly riveting thriller that refuses to merely coast on the back of its potentially gimmicky setup.|Fresh
Bows to moviegoers who aren't in the business of challenging themselves, with all the subtleties of a t.v. movie of the week.|Rotten
Once Searching is over, you might be tempted to nitpick some little plot conveniences, but such things are easy to forgive when the viewing experience delivers like this.|Fresh
CTRL+ALT+DEL this nonsense and find a film that knows how to treat you respectfully.|Rotten
"But even with Cho hitting on all cylinders, ""Searching"" ends up feeling like something that belongs more on your TV than a movie screen."|Fresh
Exciting and powerful. [Full Review in Spanish]|Fresh
"""A kind of new version of Hardcore in the Breve New World of the internet and social networks""."|Fresh
One of the most original films I have seen in quite some time with just enough twists and turns to keep you guessing until the very end.|Fresh
You may groan at the thought of another found footage desktop thriller, especially just a few weeks after an already-forgotten Unfriended sequel, but Aneesh Chaganty has managed to rejuvenate the genre.|Fresh
"Aneesh Chaganty's debut feature is one of the most exciting mystery films I've seen in a long time, and it's the first ""cyber-thriller told completely from a screen"" that's really convincing. [Full review in Spanish]"|Fresh
This really is tantalizing stuff that elicits old-school thrills from new-school technology.|Fresh
At a certain point, Searching runs out of ways to organically use its medium and the tension erodes. The first two acts, however, are engrossing and remind the viewer that John Cho should be a star.|Fresh
For cases like Searching, innovation isn't enough.|Rotten
With clever and immersive storytelling, great performances, rich characterizations, surprising twists and ample amounts of food for thought, director Aneesh Chaganty has made a great feature debut with Searching.|Fresh
Mind-boggling, electric, and hugely-entertaining, this is one of the best surprises this year.|Fresh
"An out-of-left-field crowd-pleaser that just might be the best ""cyber-thriller"" ever made."|Fresh
The screen-centric format allows the viewer to play detective right along with Cho, the reams of emails and text messages making for a strangely interactive experience.|Fresh
